continent,date,iso_code,location,month,new_vaccinations,new_vaccinations_smoothed,people_fully_vaccinated,people_vaccinated,total_vaccinations
North America,2021-05-01,ABW,Aruba,5,0.0,1125.0,0.0,0.0,0.0
North America,2021-05-01,GTM,Guatemala,5,434.0,812.0,1898.0,169369.0,171267.0
Asia,2021-05-01,SYR,Syria,5,0.0,455.0,0.0,0.0,0.0
Asia,2021-05-01,TUR,Turkey,5,82155.0,261520.0,9146939.0,13752107.0,22899046.0
Africa,2021-05-01,COG,Congo,5,0.0,852.0,0.0,0.0,0.0
Europe,2021-05-01,SVK,Slovakia,5,30183.0,24371.0,509264.0,1123537.0,1632801.0
Oceania,2021-05-01,NCL,New Caledonia,5,0.0,1050.0,0.0,0.0,0.0
Asia,2021-05-01,IRQ,Iraq,5,0.0,8610.0,0.0,0.0,0.0
Europe,2021-05-01,CZE,Czechia,5,22399.0,53673.0,1014684.0,2188874.0,3197263.0
Africa,2021-05-01,MLI,Mali,5,0.0,1811.0,0.0,0.0,0.0
Africa,2021-05-01,SSD,South Sudan,5,0.0,167.0,0.0,0.0,0.0
Europe,2021-05-01,FRA,France,5,215487.0,390750.0,6563855.0,15909700.0,22412557.0
Europe,2021-05-01,ROU,Romania,5,60017.0,77910.0,1963639.0,3336830.0,5300469.0
Europe,2021-05-01,PRT,Portugal,5,86303.0,59476.0,901881.0,2491015.0,3392918.0
Europe,2021-05-01,SMR,San Marino,5,0.0,472.0,0.0,0.0,0.0
Africa,2021-05-01,TGO,Togo,5,0.0,3453.0,0.0,0.0,0.0
Europe,2021-05-01,BGR,Bulgaria,5,5755.0,14293.0,215074.0,606144.0,821218.0
South America,2021-05-01,COL,Colombia,5,126223.0,101726.0,1700471.0,3412223.0,5112694.0
North America,2021-05-01,MSR,Montserrat,5,0.0,17.0,0.0,0.0,0.0
South America,2021-05-01,SUR,Suriname,5,0.0,493.0,0.0,39953.0,39953.0
Africa,2021-05-01,LBY,Libya,5,0.0,4600.0,0.0,0.0,0.0
