continent,date,iso_code,location,month,new_vaccinations,new_vaccinations_smoothed,people_fully_vaccinated,people_vaccinated,total_vaccinations
Europe,2021-02-28 00:00:00,LUX,Luxembourg,2,0.0,973.0,10700.0,27093.0,37793.0
South America,2021-02-28 00:00:00,CHL,Chile,2,355.0,66196.0,56312.0,3315510.0,3371822.0
Asia,2021-02-28 00:00:00,MAC,Macao,2,0.0,1581.0,0.0,0.0,14426.0
North America,2021-02-28 00:00:00,SLV,El Salvador,2,0.0,1827.0,0.0,0.0,0.0
Europe,2021-02-28 00:00:00,SVK,Slovakia,2,5566.0,11076.0,133896.0,316465.0,450361.0
Europe,2021-02-28 00:00:00,LTU,Lithuania,2,427.0,6998.0,73827.0,166112.0,239939.0
North America,2021-02-28 00:00:00,CRI,Costa Rica,2,0.0,6041.0,0.0,0.0,0.0
Asia,2021-02-28 00:00:00,TUR,Turkey,2,33100.0,282292.0,1677952.0,6869923.0,8547875.0
Europe,2021-02-28 00:00:00,SVN,Slovenia,2,0.0,4087.0,52519.0,124084.0,176603.0
Europe,2021-02-28 00:00:00,AUT,Austria,2,10134.0,18066.0,246605.0,454222.0,700827.0
Europe,2021-02-28 00:00:00,ISL,Iceland,2,0.0,871.0,0.0,0.0,0.0
Europe,2021-02-28 00:00:00,UKR,Ukraine,2,0.0,966.0,0.0,0.0,0.0
Asia,2021-02-28 00:00:00,NPL,Nepal,2,0.0,44361.0,0.0,0.0,0.0
North America,2021-02-28 00:00:00,GTM,Guatemala,2,0.0,775.0,0.0,0.0,0.0
Europe,2021-02-28 00:00:00,DEU,Germany,2,108062.0,165667.0,2181946.0,4150790.0,6332704.0
Europe,2021-02-28 00:00:00,PRT,Portugal,2,24035.0,27425.0,276179.0,621008.0,897187.0
South America,2021-02-28 00:00:00,VEN,Venezuela,2,0.0,1036.0,0.0,0.0,0.0
Asia,2021-02-28 00:00:00,HKG,Hong Kong,2,7016.0,3442.0,0.0,20701.0,20701.0
Asia,2021-02-28 00:00:00,MNG,Mongolia,2,0.0,1286.0,0.0,0.0,0.0
Africa,2021-02-28 00:00:00,SYC,Seychelles,2,0.0,2030.0,0.0,0.0,0.0
North America,2021-02-28 00:00:00,MEX,Mexico,2,71684.0,109420.0,565423.0,1889672.0,2455095.0
Oceania,2021-02-28 00:00:00,NCL,New Caledonia,2,0.0,341.0,0.0,0.0,0.0
North America,2021-02-28 00:00:00,DOM,Dominican Republic,2,0.0,5574.0,0.0,0.0,0.0
Europe,2021-02-28 00:00:00,POL,Poland,2,0.0,88742.0,1186747.0,2149607.0,3336354.0
Asia,2021-02-28 00:00:00,CHN,China,2,0.0,631579.0,0.0,0.0,52520000.0
North America,2021-02-28 00:00:00,HND,Honduras,2,0.0,0.0,0.0,2684.0,2684.0
South America,2021-02-28 00:00:00,ARG,Argentina,2,40108.0,43534.0,293432.0,731571.0,1025003.0
South America,2021-02-28 00:00:00,SUR,Suriname,2,0.0,368.0,0.0,0.0,0.0
South America,2021-02-28 00:00:00,GUY,Guyana,2,0.0,493.0,0.0,0.0,0.0
Europe,2021-02-28 00:00:00,GGY,Guernsey,2,0.0,228.0,0.0,0.0,0.0
Europe,2021-02-28 00:00:00,MCO,Monaco,2,0.0,294.0,0.0,0.0,0.0
