continent,date,iso_code,location,month,new_vaccinations,new_vaccinations_smoothed,people_fully_vaccinated,people_vaccinated,total_vaccinations
Asia,2020-12-31 00:00:00,OMN,Oman,12,1473.0,1600.0,0.0,6516.0,6516.0
Asia,2020-12-31 00:00:00,BHR,Bahrain,12,1326.0,1225.0,0.0,58643.0,58643.0
Asia,2020-12-31 00:00:00,CHN,China,12,0.0,187500.0,0.0,0.0,4500000.0
Europe,2020-12-31 00:00:00,GRC,Greece,12,617.0,631.0,0.0,2339.0,2339.0
Europe,2020-12-31 00:00:00,BEL,Belgium,12,10.0,168.0,17.0,805.0,805.0
Europe,2020-12-31 00:00:00,BGR,Bulgaria,12,0.0,1477.0,0.0,0.0,0.0
Europe,2020-12-31 00:00:00,LTU,Lithuania,12,25.0,1822.0,0.0,9742.0,9742.0
Europe,2020-12-31 00:00:00,HUN,Hungary,12,1321.0,1339.0,0.0,0.0,5110.0
Europe,2020-12-31 00:00:00,MCO,Monaco,12,0.0,126.0,0.0,0.0,0.0
Europe,2020-12-31 00:00:00,NOR,Norway,12,73.0,311.0,0.0,2186.0,2186.0
Europe,2020-12-31 00:00:00,LIE,Liechtenstein,12,0.0,0.0,0.0,0.0,0.0
Europe,2020-12-31 00:00:00,AUT,Austria,12,9.0,1074.0,0.0,5027.0,5027.0
Europe,2020-12-31 00:00:00,HRV,Croatia,12,0.0,1105.0,0.0,0.0,0.0
Europe,2020-12-31 00:00:00,LUX,Luxembourg,12,0.0,62.0,0.0,0.0,0.0
Europe,2020-12-31 00:00:00,RUS,Russia,12,0.0,68000.0,0.0,0.0,0.0
Asia,2020-12-31 00:00:00,ISR,Israel,12,158164.0,111001.0,0.0,990092.0,990092.0
Europe,2020-12-31 00:00:00,CZE,Czechia,12,1304.0,2630.0,0.0,11771.0,11771.0
Europe,2020-12-31 00:00:00,DNK,Denmark,12,6000.0,4895.0,0.0,34277.0,34277.0
Europe,2020-12-31 00:00:00,EST,Estonia,12,586.0,571.0,0.0,2476.0,2476.0
Europe,2020-12-31 00:00:00,LVA,Latvia,12,0.0,602.0,0.0,0.0,0.0
North America,2020-12-31 00:00:00,USA,United States,12,0.0,278776.0,0.0,0.0,0.0
Europe,2020-12-31 00:00:00,POL,Poland,12,11300.0,15200.0,0.0,47600.0,47600.0
South America,2020-12-31 00:00:00,CHL,Chile,12,0.0,1176.0,0.0,8649.0,8649.0
Europe,2020-12-31 00:00:00,PRT,Portugal,12,2206.0,6946.0,0.0,32749.0,32749.0
Asia,2020-12-31 00:00:00,KWT,Kuwait,12,0.0,1121.0,0.0,0.0,0.0
Europe,2020-12-31 00:00:00,ITA,Italy,12,25490.0,8164.0,0.0,39841.0,39841.0
Europe,2020-12-31 00:00:00,IRL,Ireland,12,0.0,0.0,0.0,0.0,1800.0
North America,2020-12-31 00:00:00,CRI,Costa Rica,12,0.0,240.0,0.0,0.0,0.0
Asia,2020-12-31 00:00:00,QAT,Qatar,12,0.0,1351.0,0.0,0.0,0.0
South America,2020-12-31 00:00:00,ARG,Argentina,12,0.0,15656.0,0.0,0.0,32013.0
Europe,2020-12-31 00:00:00,FIN,Finland,12,0.0,0.0,0.0,0.0,1767.0
Europe,2020-12-31 00:00:00,SVN,Slovenia,12,1845.0,1288.0,0.0,11242.0,11242.0
Europe,2020-12-31 00:00:00,ROU,Romania,12,4623.0,2331.0,0.0,10289.0,10289.0
Europe,2020-12-31 00:00:00,SWE,Sweden,12,0.0,1917.0,0.0,0.0,0.0
North America,2020-12-31 00:00:00,MEX,Mexico,12,0.0,3695.0,0.0,0.0,0.0
Europe,2020-12-31 00:00:00,BLR,Belarus,12,0.0,403.0,0.0,0.0,0.0
Europe,2020-12-31 00:00:00,ISL,Iceland,12,0.0,63.0,0.0,0.0,0.0
North America,2020-12-31 00:00:00,CYM,Cayman Islands,12,0.0,275.0,0.0,0.0,0.0
Europe,2020-12-31 00:00:00,DEU,Germany,12,50204.0,45660.0,1044.0,205696.0,206740.0
North America,2020-12-31 00:00:00,CAN,Canada,12,13440.0,7455.0,0.0,0.0,97582.0
Europe,2020-12-31 00:00:00,FRA,France,12,83.0,95.0,0.0,400.0,400.0
