continent,date,iso_code,location,month,new_vaccinations,new_vaccinations_smoothed,people_fully_vaccinated,people_vaccinated,total_vaccinations
Africa,2021-05-31 00:00:00,NGA,Nigeria,5,15473.0,13654.0,73465.0,1956598.0,2030063.0
Europe,2021-05-31 00:00:00,AUT,Austria,5,40231.0,69967.0,1540042.0,3631456.0,5132295.0
Oceania,2021-05-31 00:00:00,AUS,Australia,5,30701.0,90078.0,499237.0,3744363.0,4243600.0
Europe,2021-05-31 00:00:00,MNE,Montenegro,5,4176.0,7590.0,78240.0,132480.0,210720.0
Asia,2021-05-31 00:00:00,MYS,Malaysia,5,95420.0,75127.0,1145417.0,2011455.0,3156872.0
North America,2021-05-31 00:00:00,MEX,Mexico,5,184021.0,503416.0,12415247.0,21796967.0,30477703.0
Europe,2021-05-31 00:00:00,POL,Poland,5,175567.0,285544.0,7019149.0,13707350.0,20084619.0
Europe,2021-05-31 00:00:00,PRT,Portugal,5,29907.0,75789.0,1859581.0,3852159.0,5711763.0
South America,2021-05-31 00:00:00,ARG,Argentina,5,137396.0,158261.0,2780891.0,9476406.0,12257297.0
Asia,2021-05-31 00:00:00,MNG,Mongolia,5,81137.0,71571.0,1306462.0,1858546.0,3165008.0
Africa,2021-05-31 00:00:00,MUS,Mauritius,5,0.0,9482.0,168128.0,232673.0,400801.0
South America,2021-05-31 00:00:00,URY,Uruguay,5,46396.0,32606.0,1023333.0,1795034.0,2818367.0
Africa,2021-05-31 00:00:00,MAR,Morocco,5,0.0,205064.0,5468470.0,8674931.0,14143401.0
Europe,2021-05-31 00:00:00,MDA,Moldova,5,0.0,15743.0,76663.0,340151.0,416814.0
Africa,2021-05-31 00:00:00,MOZ,Mozambique,5,0.0,93.0,74801.0,319511.0,394312.0
Africa,2021-05-31 00:00:00,MRT,Mauritania,5,0.0,1260.0,6770.0,30561.0,37331.0
Asia,2021-05-31 00:00:00,PSE,Palestine,5,0.0,7970.0,222774.0,318134.0,540908.0
Asia,2021-05-31 00:00:00,AZE,Azerbaijan,5,407.0,38019.0,900258.0,1352958.0,2253216.0
North America,2021-05-31 00:00:00,ABW,Aruba,5,0.0,628.0,51041.0,63113.0,114154.0
North America,2021-05-31 00:00:00,PAN,Panama,5,15740.0,16927.0,377734.0,694254.0,1071998.0
Asia,2021-05-31 00:00:00,ISR,Israel,5,3412.0,2962.0,5132499.0,5450969.0,10583468.0
Asia,2021-05-31 00:00:00,BHR,Bahrain,5,25824.0,18721.0,791054.0,941674.0,1732728.0
North America,2021-05-31 00:00:00,GRL,Greenland,5,682.0,337.0,8340.0,14036.0,22376.0
Europe,2021-05-31 00:00:00,GRC,Greece,5,0.0,83565.0,2058287.0,3647975.0,5597624.0
Asia,2021-05-31 00:00:00,KHM,Cambodia,5,84723.0,97956.0,1988224.0,2625338.0,4613562.0
Africa,2021-05-31 00:00:00,GHA,Ghana,5,0.0,54335.0,376169.0,852047.0,1228216.0
Africa,2021-05-31 00:00:00,CMR,Cameroon,5,0.0,2601.0,11811.0,63404.0,75215.0
Europe,2021-05-31 00:00:00,SVK,Slovakia,5,24012.0,28751.0,846157.0,1734453.0,2580610.0
Asia,2021-05-31 00:00:00,GEO,Georgia,5,0.0,5066.0,26101.0,138914.0,165015.0
Europe,2021-05-31 00:00:00,SVN,Slovenia,5,6519.0,14363.0,407275.0,664217.0,1071492.0
North America,2021-05-31 00:00:00,CAN,Canada,5,390136.0,354401.0,2077573.0,21784779.0,23862352.0
Africa,2021-05-31 00:00:00,SOM,Somalia,5,0.0,1275.0,4714.0,129419.0,134133.0
