continent,date,iso_code,location,month,new_vaccinations,new_vaccinations_smoothed,people_fully_vaccinated,people_vaccinated,total_vaccinations
Europe,2021-03-31 00:00:00,CZE,Czechia,3,49795.0,34875.0,517768.0,1206740.0,1724508.0
Europe,2021-03-31 00:00:00,MCO,Monaco,3,0.0,174.0,0.0,0.0,0.0
South America,2021-03-31 00:00:00,ARG,Argentina,3,147366.0,80428.0,677394.0,3214538.0,3891932.0
Europe,2021-03-31 00:00:00,GBR,United Kingdom,3,627008.0,556319.0,4513458.0,31147444.0,35660902.0
Europe,2021-03-31 00:00:00,LVA,Latvia,3,5726.0,3262.0,24351.0,116155.0,140506.0
Asia,2021-03-31 00:00:00,THA,Thailand,3,0.0,12930.0,0.0,0.0,0.0
Africa,2021-03-31 00:00:00,SDN,Sudan,3,0.0,1659.0,0.0,0.0,0.0
Asia,2021-03-31 00:00:00,KOR,South Korea,3,29159.0,21962.0,12973.0,876573.0,889546.0
Asia,2021-03-31 00:00:00,SYR,Syria,3,0.0,66.0,0.0,0.0,0.0
Asia,2021-03-31 00:00:00,KGZ,Kyrgyzstan,3,0.0,72.0,0.0,0.0,0.0
North America,2021-03-31 00:00:00,DOM,Dominican Republic,3,0.0,19281.0,0.0,0.0,0.0
Europe,2021-03-31 00:00:00,MDA,Moldova,3,0.0,2410.0,0.0,40321.0,40321.0
Europe,2021-03-31 00:00:00,POL,Poland,3,189152.0,127036.0,2039663.0,4231313.0,6270976.0
Asia,2021-03-31 00:00:00,MMR,Myanmar,3,0.0,12222.0,40000.0,1000000.0,1040000.0
Europe,2021-03-31 00:00:00,ALB,Albania,3,19525.0,12122.0,0.0,0.0,138846.0
North America,2021-03-31 00:00:00,KNA,Saint Kitts and Nevis,3,0.0,130.0,0.0,0.0,0.0
Oceania,2021-03-31 00:00:00,WLF,Wallis and Futuna,3,0.0,246.0,0.0,0.0,0.0
Africa,2021-03-31 00:00:00,SHN,Saint Helena,3,0.0,60.0,0.0,0.0,0.0
Asia,2021-03-31 00:00:00,MNG,Mongolia,3,10258.0,6198.0,0.0,300366.0,300366.0
Asia,2021-03-31 00:00:00,KWT,Kuwait,3,0.0,10467.0,0.0,0.0,0.0
South America,2021-03-31 00:00:00,VEN,Venezuela,3,0.0,8575.0,0.0,0.0,0.0
Europe,2021-03-31 00:00:00,HRV,Croatia,3,0.0,10400.0,89313.0,385724.0,476499.0
