continent,date,iso_code,location,month,new_vaccinations,new_vaccinations_smoothed,people_fully_vaccinated,people_vaccinated,total_vaccinations
Europe,2021-01-31 00:00:00,LTU,Lithuania,1,8.0,3717.0,22217.0,72332.0,94549.0
Asia,2021-01-31 00:00:00,MMR,Myanmar,1,0.0,34200.0,0.0,0.0,0.0
Asia,2021-01-31 00:00:00,SGP,Singapore,1,0.0,10547.0,50.0,155000.0,155050.0
Asia,2021-01-31 00:00:00,TUR,Turkey,1,25377.0,105941.0,0.0,0.0,1986237.0
Europe,2021-01-31 00:00:00,CZE,Czechia,1,1875.0,10181.0,39816.0,239585.0,279401.0
North America,2021-01-31 00:00:00,BMU,Bermuda,1,0.0,326.0,0.0,0.0,0.0
North America,2021-01-31 00:00:00,CYM,Cayman Islands,1,0.0,275.0,0.0,0.0,0.0
Europe,2021-01-31 00:00:00,GBR,United Kingdom,1,322194.0,392361.0,494209.0,9296367.0,9790576.0
Asia,2021-01-31 00:00:00,IDN,Indonesia,1,12726.0,52348.0,22548.0,493133.0,515681.0
Europe,2021-01-31 00:00:00,NOR,Norway,1,169.0,6932.0,21140.0,109224.0,130364.0
Asia,2021-01-31 00:00:00,BGD,Bangladesh,1,0.0,1949.0,0.0,0.0,0.0
Europe,2021-01-31 00:00:00,HRV,Croatia,1,0.0,2045.0,0.0,0.0,0.0
Europe,2021-01-31 00:00:00,CHE,Switzerland,1,2256.0,17403.0,0.0,0.0,317628.0
Europe,2021-01-31 00:00:00,AUT,Austria,1,1363.0,6907.0,22012.0,238486.0,260498.0
Europe,2021-01-31 00:00:00,GGY,Guernsey,1,0.0,604.0,0.0,0.0,0.0
Europe,2021-01-31 00:00:00,SRB,Serbia,1,0.0,34158.0,0.0,0.0,0.0
Europe,2021-01-31 00:00:00,RUS,Russia,1,0.0,88538.0,0.0,0.0,0.0
South America,2021-01-31 00:00:00,ARG,Argentina,1,0.0,11299.0,0.0,0.0,0.0
Europe,2021-01-31 00:00:00,IMN,Isle of Man,1,0.0,508.0,0.0,0.0,0.0
Africa,2021-01-31 00:00:00,DZA,Algeria,1,0.0,1889.0,0.0,0.0,0.0
South America,2021-01-31 00:00:00,BRA,Brazil,1,70848.0,209905.0,0.0,2046523.0,2074059.0
Europe,2021-01-31 00:00:00,GRC,Greece,1,0.0,16075.0,0.0,0.0,0.0
Asia,2021-01-31 00:00:00,ARE,United Arab Emirates,1,220000.0,120911.0,0.0,0.0,3334162.0
Europe,2021-01-31 00:00:00,FRO,Faeroe Islands,1,0.0,83.0,0.0,0.0,0.0
South America,2021-01-31 00:00:00,CHL,Chile,1,0.0,297.0,10404.0,57007.0,67411.0
North America,2021-01-31 00:00:00,TCA,Turks and Caicos Islands,1,0.0,312.0,0.0,0.0,0.0
Africa,2021-01-31 00:00:00,MAR,Morocco,1,36000.0,42000.0,0.0,0.0,126000.0
Europe,2021-01-31 00:00:00,LUX,Luxembourg,1,0.0,613.0,1680.0,10748.0,12428.0
Europe,2021-01-31 00:00:00,CYP,Cyprus,1,0.0,1102.0,0.0,0.0,0.0
Europe,2021-01-31 00:00:00,IRL,Ireland,1,0.0,8114.0,49300.0,150500.0,199800.0
Asia,2021-01-31 00:00:00,KWT,Kuwait,1,0.0,5320.0,0.0,0.0,0.0
Asia,2021-01-31 00:00:00,QAT,Qatar,1,0.0,2609.0,0.0,0.0,0.0
Europe,2021-01-31 00:00:00,SVK,Slovakia,1,281.0,6657.0,9638.0,139141.0,148779.0
Europe,2021-01-31 00:00:00,SVN,Slovenia,1,2.0,2528.0,26781.0,54778.0,81559.0
Asia,2021-01-31 00:00:00,AZE,Azerbaijan,1,0.0,3250.0,0.0,0.0,0.0
North America,2021-01-31 00:00:00,GRL,Greenland,1,0.0,77.0,0.0,0.0,0.0
Asia,2021-01-31 00:00:00,NPL,Nepal,1,0.0,18862.0,0.0,0.0,0.0
Europe,2021-01-31 00:00:00,BGR,Bulgaria,1,105.0,2140.0,13084.0,28041.0,41125.0
Asia,2021-01-31 00:00:00,OWID_CYN,Northern Cyprus,1,0.0,1403.0,0.0,0.0,0.0
Asia,2021-01-31 00:00:00,LKA,Sri Lanka,1,21329.0,19718.0,0.0,59154.0,59154.0
Europe,2021-01-31 00:00:00,ALB,Albania,1,0.0,0.0,0.0,0.0,0.0
Europe,2021-01-31 00:00:00,BEL,Belgium,1,916.0,12915.0,25978.0,312782.0,338379.0
Europe,2021-01-31 00:00:00,EST,Estonia,1,538.0,1806.0,10449.0,28097.0,38546.0
Africa,2021-01-31 00:00:00,EGY,Egypt,1,0.0,604.0,0.0,0.0,0.0
Europe,2021-01-31 00:00:00,BLR,Belarus,1,0.0,403.0,0.0,0.0,0.0
North America,2021-01-31 00:00:00,CAN,Canada,1,5017.0,20111.0,111890.0,845339.0,957229.0
Europe,2021-01-31 00:00:00,LVA,Latvia,1,334.0,676.0,6684.0,17142.0,23826.0
Europe,2021-01-31 00:00:00,FRA,France,1,6545.0,82144.0,48432.0,1636363.0,1684795.0
Europe,2021-01-31 00:00:00,POL,Poland,1,19973.0,67061.0,200537.0,976367.0,1176904.0
Africa,2021-01-31 00:00:00,SYC,Seychelles,1,0.0,2079.0,0.0,0.0,0.0
Africa,2021-01-31 00:00:00,MUS,Mauritius,1,0.0,30.0,0.0,0.0,0.0
Europe,2021-01-31 00:00:00,AND,Andorra,1,0.0,66.0,0.0,0.0,0.0
Europe,2021-01-31 00:00:00,ROU,Romania,1,19019.0,35019.0,106196.0,585219.0,691415.0
Asia,2021-01-31 00:00:00,OMN,Oman,1,0.0,711.0,0.0,0.0,0.0
Asia,2021-01-31 00:00:00,IND,India,1,14509.0,306191.0,0.0,3758843.0,3758843.0
Europe,2021-01-31 00:00:00,MCO,Monaco,1,0.0,294.0,0.0,0.0,0.0
Asia,2021-01-31 00:00:00,CHN,China,1,0.0,651673.0,0.0,0.0,24000000.0
Europe,2021-01-31 00:00:00,DNK,Denmark,1,13298.0,9145.0,87754.0,182764.0,270518.0
North America,2021-01-31 00:00:00,PAN,Panama,1,0.0,505.0,0.0,0.0,0.0
Europe,2021-01-31 00:00:00,ISL,Iceland,1,0.0,417.0,0.0,0.0,0.0
Europe,2021-01-31 00:00:00,GIB,Gibraltar,1,420.0,421.0,400.0,12886.0,13286.0
Asia,2021-01-31 00:00:00,JOR,Jordan,1,0.0,1250.0,0.0,40000.0,40000.0
Europe,2021-01-31 00:00:00,LIE,Liechtenstein,1,0.0,71.0,0.0,841.0,841.0
Europe,2021-01-31 00:00:00,MLT,Malta,1,912.0,1101.0,3948.0,23811.0,27759.0
Europe,2021-01-31 00:00:00,PRT,Portugal,1,6538.0,11582.0,68385.0,268386.0,336771.0
South America,2021-01-31 00:00:00,BOL,Bolivia,1,28.0,22.0,0.0,0.0,67.0
Europe,2021-01-31 00:00:00,ESP,Spain,1,0.0,53095.0,357892.0,1251369.0,1609261.0
Europe,2021-01-31 00:00:00,FIN,Finland,1,0.0,8404.0,0.0,0.0,0.0
Europe,2021-01-31 00:00:00,ITA,Italy,1,59580.0,80235.0,640869.0,1382346.0,2023215.0
Asia,2021-01-31 00:00:00,BHR,Bahrain,1,0.0,7712.0,0.0,171568.0,0.0
South America,2021-01-31 00:00:00,ECU,Ecuador,1,0.0,478.0,0.0,0.0,0.0
Europe,2021-01-31 00:00:00,DEU,Germany,1,56518.0,92441.0,602322.0,1950028.0,2552350.0
Europe,2021-01-31 00:00:00,NLD,Netherlands,1,0.0,26552.0,2405.0,350197.0,352602.0
North America,2021-01-31 00:00:00,CRI,Costa Rica,1,0.0,1555.0,0.0,0.0,0.0
Asia,2021-01-31 00:00:00,SAU,Saudi Arabia,1,0.0,6047.0,0.0,0.0,0.0
North America,2021-01-31 00:00:00,USA,United States,1,1545397.0,1324949.0,5657142.0,25201143.0,31123299.0
Europe,2021-01-31 00:00:00,HUN,Hungary,1,20308.0,20434.0,61266.0,237872.0,299138.0
North America,2021-01-31 00:00:00,MEX,Mexico,1,3020.0,6243.0,41842.0,631485.0,673327.0
Asia,2021-01-31 00:00:00,KAZ,Kazakhstan,1,0.0,0.0,0.0,0.0,0.0
Asia,2021-01-31 00:00:00,ISR,Israel,1,132506.0,163866.0,1849280.0,3102499.0,4951779.0
Europe,2021-01-31 00:00:00,SWE,Sweden,1,0.0,12687.0,35561.0,294362.0,329923.0
